timestamps,no_of_customer,mask_count,no_mask_count
2020-10-31 10:14:28,1,0,1
2020-10-31 10:14:42,2,0,1
2020-10-31 10:34:59,3,0,1
2020-10-31 10:36:24,4,0,1
2020-10-31 10:36:28,5,0,1
2020-10-31 10:37:08,6,0,1
2020-10-31 10:37:24,7,0,1
2020-10-31 10:37:38,8,0,1
2020-10-31 10:38:38,9,0,1
2020-10-31 10:38:58,10,0,1
2020-10-31 10:39:34,11,0,1
2020-10-31 10:54:26,12,0,1
2020-10-31 10:54:31,13,0,1
2020-10-31 10:54:52,14,0,1
2020-10-31 10:54:55,15,0,1
2020-10-31 10:55:20,16,0,1
2020-10-31 10:23:28,1,0,1
2020-10-31 10:23:49,2,0,1
2020-10-31 10:23:56,3,0,1
2020-10-31 10:24:04,4,0,1
2020-10-31 10:24:10,5,0,1
2020-10-31 10:24:26,6,0,1
